;linha_identificada;distancia_identificada;linha_faltosa;distancia real;tipo_de_falta;r_f;erro
233;l3;7201,356624482953;l3;7207,910399999999;.1.2;r_0_00001;-0,011398975867722814
234;l3;7200,868249177664;l3;7207,910399999999;.2.3;r_0_00001;-0,012248406597367437
235;l3;7206,683276039763;l3;7207,910399999999;.1.3;r_0_00001;-0,0021343356013723796
236;l3;7201,2175451741205;l3;7207,910399999999;.1.2.0;r_0_00001;-0,011640876384601028
237;l3;7200,198797729852;l3;7207,910399999999;.2.3.0;r_0_00001;-0,013412782898993152
238;l3;7206,260108841606;l3;7207,910399999999;.1.3.0;r_0_00001;-0,0028703499288782767
239;l3;7201,322029861676;l3;7207,910399999999;.1.2.3.0;r_0_00001;-0,011459146261423052
240;l3;8194,235808962247;l3;8190,280799999999;.1.0;r_0_00001;0,0068789435341556435
241;l3;8177,332233680102;l3;8190,280799999999;.2.0;r_0_00001;-0,022521429764904857
242;l3;8179,580353975171;l3;8190,280799999999;.3.0;r_0_00001;-0,018611276155801156
243;l3;8181,708594728115;l3;8190,280799999999;.1.2;r_0_00001;-0,014909628926596138
244;l3;8181,0291107266;l3;8190,280799999999;.2.3;r_0_00001;-0,01609145483986129
245;l3;8188,583054333834;l3;8190,280799999999;.1.3;r_0_00001;-0,0029528875116034514
246;l3;8181,563647742216;l3;8190,280799999999;.1.2.0;r_0_00001;-0,015161735088924103
247;l3;8180,284597184754;l3;8190,280799999999;.2.3.0;r_0_00001;-0,01738638657419186
248;l3;8188,109795858705;l3;8190,280799999999;.1.3.0;r_0_00001;-0,003776025552136068
249;l3;8181,702376356615;l3;8190,280799999999;.1.2.3.0;r_0_00001;-0,01492044453455827
250;l3;9177,629533655612;l3;9172,651199999998;.1.0;r_0_00001;0,00865881125379015
251;l3;9156,391940829311;l3;9172,651199999998;.2.0;r_0_00001;-0,02827971486537038
252;l3;9159,22504607731;l3;9172,651199999998;.3.0;r_0_00001;-0,02335209745329073
253;l3;9161,771136795283;l3;9172,651199999998;.1.2;r_0_00001;-0,018923684155380083
254;l3;9160,8827302018;l3;9172,651199999998;.2.3;r_0_00001;-0,020468888945123737
255;l3;9170,400565528762;l3;9172,651199999998;.1.3;r_0_00001;-0,00391452651345195
256;l3;9161,621781711869;l3;9172,651199999998;.1.2.0;r_0_00001;-0,019183457317756274
257;l3;9160,06323422747;l3;9172,651199999998;.2.3.0;r_0_00001;-0,02189423755689606
258;l3;9169,877679103052;l3;9172,651199999998;.1.3.0;r_0_00001;-0,004823982403834742
259;l3;9161,800497283257;l3;9172,651199999998;.1.2.3.0;r_0_00001;-0,018872617485030517
260;l3;10161,133895308476;l3;10155,021599999998;.1.0;r_0_00001;0,0106311097376639
261;l3;10135,06328247063;l3;10155,021599999998;.2.0;r_0_00001;-0,03471348374473373
262;l3;10138,554503365842;l3;10155,021599999998;.3.0;r_0_00001;-0,02864120637882451
263;l3;10141,53704277532;l3;10155,021599999998;.1.2;r_0_00001;-0,02345367826396122
264;l3;10140,425341075295;l3;10155,021599999998;.2.3;r_0_00001;-0,02538726003186475
265;l3;10152,132382059835;l3;10155,021599999998;.1.3;r_0_00001;-0,005025214167138679
266;l3;10141,385113928434;l3;10155,021599999998;.1.2.0;r_0_00001;-0,023717927970830572
267;l3;10139,531084905806;l3;10155,021599999998;.2.3.0;r_0_00001;-0,026942638983899092
268;l3;10151,560263376434;l3;10155,021599999998;.1.3.0;r_0_00001;-0,006020299679086134
269;l3;10141,609859588223;l3;10155,021599999998;.1.2.3.0;r_0_00001;-0,02332702804671128
270;l4;11288,665711106603;l4;11314,297919999995;.2.0;r_0_00001;-0,0445820778957488
271;l4;11460,985256011903;l4;11491,203839999996;.2.0;r_0_00001;-0,05255915597674845
272;l4;11632,600301328928;l4;11668,109759999996;.2.0;r_0_00001;-0,061761569558584466
273;l4;11803,51649631472;l4;11845,015679999997;.2.0;r_0_00001;-0,0721794928935663
274;l4;11973,831650742197;l4;12021,921599999994;.2.0;r_0_00001;-0,08364280553153702
275;l4;12143,393336875804;l4;12198,827519999992;.2.0;r_0_00001;-0,09641662489598515
276;l4;12312,391609062426;l4;12375,733439999993;.2.0;r_0_00001;-0,1101703896321608
277;l4;12480,60492506392;l4;12552,639359999992;.2.0;r_0_00001;-0,1252894279557809
278;l4;12648,1340635327;l4;12729,545279999991;.2.0;r_0_00001;-0,1415984556472668
279;l5;12289,76170105175;l5;12280,391999999998;.1.0;r_0_00001;0,016296712619908484
